page_name,page_age_days,revisions_count_mean,revisions_count_std,revisions_count_ar,revisions_count_max,revisions_count_min,revisions_count_range,revisions_count_avg_last_week,revisions_count_avg_all_period,contributors_count_mean,contributors_count_std,contributors_count_ar,contributors_count_max,contributors_count_min,contributors_count_range,contributors_count_avg_last_week,contributors_count_avg_all_period,num_of_views_mean,num_of_views_std,num_of_views_ar,num_of_views_max,num_of_views_min,num_of_views_range,num_of_views_avg_last_week,num_of_views_avg_all_period,incoming_links_mean,outcoming_links_mean,outcoming_links_std,outcoming_links_ar,outcoming_links_max,outcoming_links_min,outcoming_links_range,outcoming_links_avg_last_week,outcoming_links_avg_all_period,translated
Доріньї,863,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,16.0,16.0,0.0,16.0,16.0,1
Доронін,3714,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,9.0,9.0,0.0,9.0,9.0,1
Дорошкевич,3105,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,0.0,9.0,9.0,1
Доруд,638,6.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,0.0,9.0,9.0,1
Дор,1253,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,1
Дослідницьке,1611,38.63333333333333,0.4818944098266986,0.9649734010791469,39.0,38.0,1.0,39.0,38.63333333333333,23.633333333333333,0.4818944098266986,0.9649734202422738,24.0,23.0,1.0,24.0,23.633333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,84.0,80.0,-0.7966101625812616,164.0,4.0,160.0,95.42857142857143,84.0,1
Доссор,261,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,26.0,0.0,0.0,26.0,26.0,0.0,26.0,26.0,1
Довбиш,542,18.3,1.4177446878757822,0.9800837128082776,20.0,17.0,3.0,20.0,18.3,10.9,0.9433981132056605,0.982055411514045,12.0,10.0,2.0,12.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,105.0,75.0,-0.7966101677106908,180.0,30.0,150.0,115.71428571428571,105.0,1
Довгий,3139,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,8.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,3.0,-0.7966101731130372,19.0,13.0,6.0,16.428571428571427,16.0,1
Довжки,3253,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,1
Довжок,2366,6.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,0.0,0.0,23.0,23.0,0.0,23.0,23.0,1
